player_name,team_abbreviation,season,games_played,minutes_per_game,per,epm,o_epm,d_epm,dpm,o_dpm,d_dpm,rapm,o_rapm,d_rapm,lebron,o_lebron,d_lebron,bpm,obpm,dbpm,ws,ows,dws,ws_per_48,vorp,bbref_ts_pct,bbref_three_point_attempt_rate,bbref_free_throw_attempt_rate,bbref_off_reb_pct,bbref_def_reb_pct,bbref_total_reb_pct,bbref_assist_pct,bbref_steal_pct,bbref_block_pct,bbref_turnover_pct,bbref_usage_pct,nba_off_rating,nba_def_rating,nba_net_rating,nba_est_off_rating,nba_est_def_rating,nba_est_net_rating,nba_assist_pct,nba_assist_to,nba_assist_ratio,nba_off_reb_pct,nba_def_reb_pct,nba_reb_pct,nba_team_turnover_pct,nba_est_turnover_pct,nba_effective_fg_pct,nba_true_shooting_pct,nba_usage_pct,nba_est_usage_pct,nba_est_pace,nba_pace,nba_pie,nba_possessions,source_basketball_reference,source_databallr,source_nba_stats,source_epm,source_lebron
Alijah Martin,TOR,2025-26,23,6.3,9.2,,,,,,,,,,,,,-4.3,-4.6,0.2,0,-0.2,0.2,0.015,-0.1,0.437,0.42,0.38,6.9,9.4,8.2,10.6,2.7,2.6,12.1,19.5,101.3,107.1,-5.8,102,109.9,-7.9,0.129,1.5,15.2,0.053,0.086,0.068,10.1,10.2,0.36,0.437,0.185,0.195,96.48,98.07,0.062,299,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Chucky Hepburn,TOR,2025-26,2,6.5,-13.5,,,,,,,,,,,,,-23.8,-20.7,-3.1,-0.1,-0.1,0,-0.441,-0.1,0,0.833,0,0,8.8,4.4,17.4,3.8,0,14.3,23.1,73.1,120.7,-47.6,72.2,133.6,-61.4,0.286,2,22.2,,0.067,0.029,11.1,11.1,,,0.219,0.223,95.25,99.75,-0.1,26,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Steven Adams,HOU,2025-26,32,22.8,15.8,,,,2.06,-1.28,3.34,3.59,1.2,2.39,,,,-0.5,-0.1,-0.3,2.1,1.1,1,0.141,0.3,0.535,0,0.583,22.3,19.6,21,8.3,1.5,2.5,16.7,12.1,117.3,105.5,11.8,114.8,104.9,9.9,0.084,1.37,18.5,0.189,0.165,0.177,13.5,13.6,0.504,0.535,0.116,0.117,99.06,97.69,0.1,1495,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Kevin Durant,HOU,2025-26,78,36.4,21.1,,,,3.36,3.12,0.25,1.29,2.11,-0.82,,,,4.5,4.4,0.1,10.7,7.5,3.2,0.18,4.7,0.641,0.327,0.339,1.6,14.8,8.3,20.7,1.1,2.3,13.5,27.1,117.9,112.4,5.5,116,111.4,4.6,0.203,1.51,17,0.014,0.131,0.073,11.3,11.2,0.588,0.641,0.263,0.27,99.4,98.14,0.15,5816,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Jeff Green,HOU,2025-26,30,5.8,8.5,-3.4529,-1.80808,-1.64484,-4.86,-3.68,-1.18,-4.53,-1.66,-2.87,,,,-5.6,-3.4,-2.2,0.2,0.1,0.1,0.054,-0.2,0.477,0.647,0.074,4.5,11.2,7.9,6.2,0.6,1.1,5.4,17.8,103.6,111.7,-8.1,103.4,111.2,-7.8,0.07,2,9.8,0.036,0.098,0.066,4.9,4.9,0.456,0.477,0.171,0.179,99.03,98.71,0.061,361,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
Clint Capela,HOU,2025-26,75,12.3,17.9,,,,1.23,-1.86,3.09,2.11,-1.19,3.29,,,,0.4,-0.5,0.9,3,1.3,1.7,0.156,0.6,0.54,0.009,0.344,19.4,21.8,20.6,7.1,1.9,6.3,13.6,13.7,113.1,105.1,8,112.6,104.4,8.2,0.072,1.22,14.1,0.158,0.181,0.169,11.5,11.6,0.522,0.54,0.133,0.136,99.1,98.6,0.11,1906,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Dorian Finney-Smith,HOU,2025-26,37,16.8,5.8,,,,-0.81,-1.7,0.89,2.7,0.7,2,,,,-4.3,-4.3,-0.1,0.5,0,0.6,0.042,-0.4,0.452,0.758,0.068,6.3,10.2,8.3,7.1,1.3,0.9,13.9,10.7,109.4,107.6,1.8,109.4,108.2,1.2,0.078,1.64,18.6,0.054,0.087,0.071,11.3,11.3,0.436,0.452,0.104,0.108,99.03,99.32,0.034,1280,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Josh Okogie,HOU,2025-26,78,17.4,9.9,,,,,,,,,,,,,-1.2,-2.3,1.1,2.7,1.1,1.6,0.095,0.3,0.544,0.548,0.235,6.7,9.6,8.2,6.4,2.3,1.1,11.2,11.3,115.4,109.9,5.6,115.8,109.6,6.1,0.065,1.68,15.8,0.059,0.085,0.072,9.4,9.4,0.531,0.544,0.112,0.116,98.22,98.25,0.056,2733,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Aaron Holiday,HOU,2025-26,57,13.7,10.1,,,,,,,,,,,,,-2.4,-2.2,-0.2,1.4,0.7,0.7,0.088,-0.1,0.578,0.675,0.163,1.9,6.3,4.1,10.2,1.7,0.6,12.3,16.6,114.6,106.3,8.3,114.8,106.4,8.4,0.105,1.58,16.3,0.016,0.054,0.035,10.4,10.3,0.55,0.578,0.159,0.166,99.54,99.63,0.063,1618,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Jae'Sean Tate,HOU,2025-26,46,8.8,10.7,-2.6974,-1.46725,-1.23015,,,,,,,,,,-3.9,-3.2,-0.7,0.8,0.4,0.4,0.095,-0.2,0.567,0.294,0.101,9.2,10.8,10,8.3,1.2,0.7,12.3,13.5,107.8,111.1,-3.3,109.9,110.3,-0.4,0.095,1.56,16.2,0.076,0.094,0.085,10.4,10.3,0.56,0.567,0.131,0.139,97.31,97.9,0.067,821,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
Alperen Sengun,HOU,2025-26,72,33.3,21.4,,,,,,,,,,,,,4.2,2.7,1.5,8,4.4,3.6,0.161,3.7,0.569,0.117,0.335,10.1,19.4,14.8,28.9,1.8,3,15,26.6,117.1,113.7,3.4,115.5,113.7,1.9,0.282,1.96,22.8,0.089,0.177,0.133,11.6,11.6,0.537,0.569,0.259,0.266,98.68,98.02,0.142,4914,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Jabari Smith Jr.,HOU,2025-26,77,35.1,13.5,,,,,,,,,,,,,-0.7,-0.5,-0.2,6.6,3.4,3.3,0.118,0.9,0.57,0.501,0.215,4.5,17,10.8,7.3,1,2.4,9,18.2,117,112,5,115.1,110.9,4.2,0.073,1.36,10.9,0.039,0.152,0.096,8,8,0.54,0.569,0.179,0.183,98.98,97.66,0.093,5501,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Tari Eason,HOU,2025-26,60,25.8,12.9,1.0532,-1.03403,2.08719,,,,,,,,,,-1.6,-1.8,0.2,2.9,0.6,2.3,0.091,0.2,0.514,0.448,0.116,9,17.8,13.5,8,2.3,1.7,11.7,18.7,116.1,109.6,6.5,115.6,110.1,5.5,0.078,1.11,11.6,0.077,0.156,0.116,10.4,10.4,0.496,0.514,0.181,0.187,99.06,99.06,0.083,3179,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
JD Davison,HOU,2025-26,28,7.8,11.4,,,,,,,,,,,,,-1.1,-2.4,1.3,0.5,0.2,0.3,0.102,0,0.477,0.5,0.297,1.5,15.5,8.6,20.7,1.4,2.5,8.8,15.3,108.7,106.1,2.6,109.4,105.6,3.8,0.219,5,30.4,0.014,0.131,0.074,6.1,6.1,0.438,0.477,0.153,0.159,97.69,97.79,0.09,447,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Amen Thompson,HOU,2025-26,79,37.4,18.9,3.3622,1.61107,1.75115,,,,,,,,,,2.6,1.6,1,10.3,6.5,3.8,0.167,3.4,0.594,0.111,0.374,8.9,14,11.5,20.4,2,1.5,13.5,20,117,110.4,6.6,116.3,110,6.4,0.202,2.21,23.1,0.078,0.123,0.101,10.4,10.4,0.545,0.594,0.195,0.201,98.89,98.4,0.128,6040,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
Reed Sheppard,HOU,2025-26,82,26.2,15.7,,,,,,,,,,,,,2.7,1.2,1.5,5.9,2.7,3.1,0.131,2.5,0.564,0.609,0.091,1.5,10.7,6.1,18.6,2.8,2.3,11.1,21.7,115.9,111.6,4.3,114.1,111.5,2.6,0.183,2.25,20.1,0.012,0.092,0.053,8.9,8.9,0.55,0.564,0.21,0.214,99.57,98.73,0.102,4455,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Isaiah Crawford,HOU,2025-26,14,6.6,9.8,-4.0101,-2.81034,-1.19977,,,,,,,,,,-3,-3,0.1,0.1,0,0.1,0.069,0,0.526,0.542,0.25,3.7,15.4,9.6,7,1.1,3,13.1,14,97.3,103.2,-5.9,95.7,103.8,-8.2,0.079,1.25,13.9,0.027,0.133,0.077,11.1,11.2,0.479,0.526,0.138,0.142,98.05,97.46,0.087,188,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
Tristen Newton,HOU,2025-26,1,12,32.8,,,,,,,,,,,,,8.4,8.5,0,0.1,0.1,0,0.28,0,0.581,0.556,0.333,18.7,9.1,13.9,0,4.2,0,0,36.2,128,120,8,122.7,110.3,12.4,,,,0.143,0.077,0.111,,,0.556,0.581,0.345,0.368,106.56,100,0.149,25,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Harrison Barnes,SAS,2025-26,77,25.8,11.8,,,,0.23,0.43,-0.21,-1.16,0.62,-1.78,,,,-0.1,-0.2,0.1,4.8,2.7,2.1,0.117,1,0.608,0.623,0.214,3.5,7.9,5.8,9.7,1.2,0.5,8.8,14.6,118.4,110.6,7.8,117.2,110,7.2,0.097,2.43,17.6,0.03,0.071,0.051,7.3,7.3,0.577,0.608,0.144,0.146,102.45,101.69,0.075,4209,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Bismack Biyombo,SAS,2025-26,25,5.6,4.5,-6.1271,-4.50022,-1.62692,-4.29,-4.44,0.15,-4.47,-2.36,-2.12,,,,-5.8,-7.2,1.4,0.2,0,0.2,0.057,-0.1,0.636,0,0.467,3.9,15.6,9.9,4.2,1.4,1.3,30.7,7.8,94.2,127.1,-32.9,96.3,124.6,-28.2,0.056,0.63,16.1,0.04,0.156,0.1,25.8,25.7,0.6,0.636,0.082,0.086,99.57,99.67,0.024,292,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
Kelly Olynyk,SAS,2025-26,42,8.6,13.5,,,,-2.53,-3.15,0.62,-2.71,-1.3,-1.41,,,,-0.1,-1.3,1.3,1,0.4,0.6,0.13,0.2,0.59,0.49,0.396,7.4,15.1,11.3,17.6,2,0.7,17.6,16,104.2,111.1,-6.9,104.5,111.3,-6.8,0.203,2.04,26.2,0.063,0.138,0.101,12.8,12.9,0.552,0.59,0.16,0.163,100.58,100.81,0.096,763,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Mason Plumlee,SAS,2025-26,6,7.8,11.6,,,,-0.79,-2.62,1.84,0.12,1.23,-1.11,,,,-1.2,-3.4,2.2,0.2,0.1,0.1,0.156,0,0.868,0,1,16.5,13.3,14.9,9.9,4.1,0,51,5.3,101.9,118.1,-16.2,105.9,124.3,-18.4,0.108,1.33,40,0.137,0.14,0.138,30,30.4,1,0.868,0.049,0.051,103.09,107.81,0.051,106,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
De'Aaron Fox,SAS,2025-26,72,31,17.6,3.1343,1.23281,1.90148,2.24,2.27,-0.03,2.95,2.81,0.14,,,,2.2,1.5,0.6,6.4,3.4,3,0.138,2.4,0.578,0.377,0.235,2.1,10.7,6.5,29.6,1.9,0.8,12.4,24.9,118.8,108.9,9.9,119,109.7,9.3,0.286,2.71,25.2,0.018,0.092,0.056,9.3,9.3,0.549,0.578,0.242,0.249,103.22,103.67,0.117,4807,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,local_unified_databallr,https://www.nba.com/stats/players/advanced,https://dunksandthrees.com/epm,unavailable_public_export
Luke Kornet,SAS,2025-26,68,21,17.9,,,,,,,,,,,,,3.6,1.6,2.1,6.9,4.6,2.3,0.231,2,0.689,0,0.419,14,17,15.5,11.3,1.1,4,8,10.3,114.4,110.5,3.9,114.6,110.3,4.3,0.114,4.5,26.3,0.116,0.147,0.132,5.8,5.9,0.643,0.689,0.1,0.102,102.35,102.41,0.109,3051,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Jordan McLaughlin,SAS,2025-26,44,6.4,12,,,,,,,,,,,,,0.6,-1.9,2.5,0.6,0.1,0.5,0.1,0.2,0.542,0.506,0.089,2.7,9.3,6.1,17.2,3.4,0.6,15.5,14.5,100.8,112.3,-11.5,103.2,113.2,-10,0.199,2.53,28.1,0.024,0.093,0.057,11.1,11.1,0.525,0.542,0.143,0.15,100.08,101.67,0.091,600,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Keldon Johnson,SAS,2025-26,82,23.3,17.3,,,,,,,,,,,,,0.9,1.2,-0.3,6.4,3.9,2.6,0.161,1.4,0.613,0.343,0.243,7.9,16.6,12.4,8.5,1.2,0.5,7.4,21,116,108.2,7.8,115.5,108,7.5,0.085,1.59,10.4,0.067,0.143,0.106,6.6,6.6,0.582,0.613,0.201,0.207,102.55,102.22,0.118,4070,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Devin Vassell,SAS,2025-26,67,30.5,13,,,,,,,,,,,,,0.5,0.1,0.3,4.9,2.3,2.6,0.115,1.3,0.574,0.572,0.172,2.1,11.8,7.1,11,1.3,1.1,6.9,18,121.3,109.9,11.4,119.9,108.3,11.6,0.107,2.78,16.2,0.019,0.102,0.063,5.8,5.8,0.547,0.574,0.176,0.18,102.82,101.48,0.087,4321,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
Lindy Waters III,SAS,2025-26,40,7.1,7.5,,,,,,,,,,,,,-3.2,-2.9,-0.3,0.4,0.1,0.3,0.063,-0.1,0.532,0.898,0.034,1.2,9.5,5.5,8.5,1,0.3,7.3,14.2,107.1,108.7,-1.6,107.9,110.9,-3,0.09,2.71,16.5,0.01,0.087,0.05,6.1,6.1,0.528,0.532,0.141,0.148,99.85,101.17,0.052,602,https://www.basketball-reference.com/leagues/NBA_2026_advanced.html,,https://www.nba.com/stats/players/advanced,unavailable_public_full_table,unavailable_public_export
